Original,Furigana,Level
愛,あい,N3
愛情,あいじょう,N3
合図,あいず,N3
アイスクリーム,アイスクリーム,N3
愛する,あいする,N3
相手,あいて,N3
生憎,あいにく,N3
アイロン,アイロン,N3
アウト,アウト,N3
明かり,あかり,N3
空き,あき,N3
明らか,あきらか,N3
諦める,あきらめる,N3
飽きる,あきる,N3
握手,あくしゅ,N3
悪魔,あくま,N3
預ける,あずける,N3
汗,あせ,N3
値,あたい,N3
与える,あたえる,N3
辺り,あたり,N3
当たる,あたる,N3
彼方此方,あちこち,N3
アッ,アッ,N3
扱う,あつかう,N3
悪口,あっこう,N3
集まり,あつまり,N3
当てる,あてる,N3
穴,あな,N3
油,あぶら,N3
誤り,あやまり,N3
粗い,あらい,N3
嵐,あらし,N3
新た,あらた,N3
有らゆる,あらゆる,N3
表す,あらわす,N3
現れ,あらわれ,N3
現れる,あらわれる,N3
有り難う,ありがとう,N3
或,ある,N3
或いは,あるいは,N3
アルバム,アルバム,N3
泡,あわ,N3
合わせる,あわせる,N3
哀れ,あわれ,N3
案,あん,N3
暗記,あんき,N3
安定,あんてい,N3
案内,あんない,N3
あんなに,あんなに,N3
委員,いいん,N3
意外,いがい,N3
息,いき,N3
勢い,いきおい,N3
生き物,いきもの,N3
行けない,いけない,N3
医師,いし,N3
意志,いし,N3
意思,いし,N3
維持,いじ,N3
意識,いしき,N3
意識,いしき,N3
異常,いじょう,N3
泉,いずみ,N3
何れ,いずれ,N3
以前,いぜん,N3
板,いた,N3
偉大,いだい,N3
抱く,いだく,N3
悪戯,いたずら,N3
頂きます,いただきます,N3
頂く,いただく,N3
痛み,いたみ,N3
至る,いたる,N3
位置,いち,N3
市,いち,N3
一時,いちじ,N3
一度に,いちどに,N3
市場,いちば,N3
一家,いっか,N3
何時か,いつか,N3
一種,いっしゅ,N3
一瞬,いっしゅん,N3
一生,いっしょう,N3
一生,いっしょう,N3
一層,いっそう,N3
一体,いったい,N3
一致,いっち,N3
何時でも,いつでも,N3
一般,いっぱん,N3
一方,いっぽう,N3
何時までも,いつまでも,N3
移動,いどう,N3
従兄弟,いとこ,N3
稲,いね,N3
居眠り,いねむり,N3
命,いのち,N3
違反,いはん,N3
衣服,いふく,N3
居間,いま,N3
今に,いまに,N3
今にも,いまにも,N3
以来,いらい,N3
